QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-1.1777402460711502e-05,0.06907032989986814,0.047108432102599934,3999.8528915678976,1.0,1,3,1
-8.529107279102989e-06,0.051767166068999115,0.03411432150208499,3999.718777246396,1.0,1,3,1
-8.25542365171923e-06,0.04765059361483682,0.033018547451540245,3999.5857586989446,1.0,1,3,1
-1.0443687572546985e-05,0.06177847957573207,0.04176937971470282,3999.44398931923,1.0,1,3,1
-0.0005571942965436631,0.03481893219945087,2.2284116607648556,3997.115577658465,0.0,0,1,1
-7.207766452875541e-06,0.04750040881345512,0.028809554792267638,3996.986768103673,1.0,1,3,1
-8.946369988031012e-06,0.058898272964622876,0.03575762782772097,3996.851010475845,1.0,1,3,1
-8.955299892467662e-06,0.056440858322785566,0.035792103894334355,3996.715218371951,1.0,1,3,1
-8.461228118468777e-06,0.05540898254207213,0.03381627306438898,3996.5814020988864,1.0,1,3,1
-9.951305469809329e-06,0.061861393879652116,0.039770207236697906,3996.4416318916496,1.0,1,3,1
-5.023352385062214e-06,0.03429587400498472,0.02007503226808634,3996.321556859382,1.0,1,3,1
-1.3029559563208154e-05,0.07766393931738969,0.05206900680287574,3996.169487852579,1.0,1,3,1
-8.47981246784151e-06,0.05289226174793672,0.03388591986545334,3996.0356019327137,1.0,1,3,1
-0.0009159265845634281,0.057187244500213084,3.659983648013637,3992.2756182847,0.0,0,2,1
-5.626817270010562e-06,0.03765880994796006,0.022463242713879443,3992.1531550419863,1.0,1,3,1
-1.0982599456002231e-05,0.06802840895885598,0.04384312080889611,3992.0093119211774,1.0,1,3,1
-9.13593543043707e-06,0.05584577718903175,0.036469825717872356,3991.8728420954594,1.0,1,3,1
-7.688906347610355e-06,0.05203076636005209,0.030692367543806404,3991.7421497279156,1.0,1,3,1
-1.0807620461783438e-05,0.05965532325269488,0.04314015337351665,3991.5990095745424,1.0,1,3,1
-8.90992391165111e-06,0.05512967594891497,0.03556395246873994,3991.463445622074,1.0,1,3,1
-9.933850796073143e-06,0.062454018785895675,0.03964960894171008,3991.3237960131323,1.0,1,3,1
-9.11096741863571e-06,0.05773268983488569,0.03636390996595919,3991.1874321031664,1.0,1,3,1
-8.398653876523214e-06,0.05519028088383762,0.03351976193317634,3991.053912341233,1.0,1,3,1
-7.909004103161645e-06,0.052996819006727036,0.031564470868235835,3990.9223478703652,1.0,1,3,1
-9.795709239579244e-06,0.05956485111716096,0.039092935346553066,3990.7832549350187,1.0,1,3,1
-4.654965498829901e-06,0.03199251532714442,0.018576492868480725,3990.6646784421505,1.0,1,3,1
-4.960589595282689e-06,0.03324484413041887,0.019795553623182742,3990.5448828885274,1.0,1,3,1
-9.38883755555377e-06,0.05757368260709213,0.037465638779831174,3990.4074172497476,1.0,1,3,1
-9.732404205490313e-06,0.05409569776407845,0.038835284688840635,3990.2685819650587,1.0,1,3,1
-1.1055354647048192e-05,0.067027801377209,0.04411272877513311,3990.124469236284,1.0,1,3,1
-1.1133845840096349e-05,0.06529472444954032,0.04442431733868904,3989.980044918945,1.0,1,3,1
-8.22440321370533e-06,0.05565045875571266,0.03281438226373014,3989.8472305366813,1.0,1,3,1
-5.981017913079046e-06,0.037453394659358735,0.023862749654497407,3989.7233677870267,1.0,1,3,1
-1.1660025989517928e-05,0.06911788088091261,0.046519112156784774,3989.5768486748702,1.0,1,3,1
-9.0219747088251e-06,0.05887615615143438,0.03599295923018794,3989.4408557156403,1.0,1,3,1
-6.1737361394386875e-06,0.03956654570284894,0.024629137813470908,3989.316226577827,1.0,1,3,1
-7.812649812217499e-06,0.04840599518569837,0.03116634940346826,3989.1850602284235,1.0,1,3,1
-7.415929353386722e-06,0.05076536069660163,0.029582772991304407,3989.055477455432,1.0,1,3,1
-7.42238944160153e-06,0.046846424175569654,0.02960758101888379,3988.9258698744134,1.0,1,3,1
-8.254655722996584e-06,0.05053248960074109,0.032926384294795656,3988.792943490119,1.0,1,3,1
-7.54954837517983e-06,0.046371798189031074,0.030112830330617082,3988.662830659788,1.0,1,3,1
-5.0426562022148035e-06,0.032979220806447794,0.020112951095950016,3988.542717708692,1.0,1,3,1
-9.934588351072543e-06,0.05651716936618084,0.039623536562268885,3988.40309417213,1.0,1,3,1
-1.0462045172292658e-05,0.06548223161185447,0.0417258071320234,3988.261368364998,1.0,1,3,1
-6.666525896443196e-06,0.045724879551801906,0.02658718104139959,3988.1347811839564,1.0,1,3,1
-0.0009678914991221937,0.060312265045493585,3.8599849629115894,3984.1747962210447,0.0,0,1,1
-4.948878283978032e-06,0.03347123484711899,0.01971670124076253,3984.055079519804,1.0,1,3,1
-5.599340355539501e-06,0.035771460692201267,0.022307520451411822,3983.932771999353,1.0,1,3,1
-1.2121685635710589e-05,0.07216631316742747,0.04829076848741765,3983.784481230866,1.0,1,3,1
-6.224817744672903e-06,0.04081943466096137,0.024797709847943963,3983.659683521018,1.0,1,3,1
-0.0008780571113316611,0.054653014195777054,3.4977929085297315,3980.0618906124882,0.0,0,1,1
-0.00032908371547258383,0.020464697600031986,1.309740646402047,3978.652149966086,0.0,0,1,1
-8.20541781324897e-06,0.05216811537795586,0.032645682682271714,3978.519504283404,1.0,1,3,1
-5.424383096434207e-06,0.03474277921202223,0.02158047150955905,3978.3979238118945,1.0,1,3,1
-6.416723852803164e-06,0.0423292679273084,0.02552763918128109,3978.2723961727133,1.0,1,3,1
-0.0008239584887071562,0.0512163893026093,3.277848915366995,3974.8945472573464,0.0,0,2,1
-1.0459265259495041e-05,0.06650163913505873,0.04157343052175908,3974.752973826825,1.0,1,3,1
-1.3993267440242876e-05,0.07957376340377671,0.055618382044915426,3974.59735544478,1.0,1,3,1
-1.1999510881870697e-05,0.0732193426073424,0.04769202426662595,3974.4496634205134,1.0,1,3,1
-1.1180373007445096e-05,0.06767942111472003,0.04443471169905521,3974.3052287088144,1.0,1,3,1
-7.95913226290445e-06,0.047871716196256846,0.03163122505521988,3974.1735974837593,1.0,1,3,1
-4.935548382850814e-06,0.0339198878708024,0.019614232517391087,3974.053983251242,1.0,1,3,1
-5.32303012170183e-06,0.03417093931797182,0.02115347675510333,3973.932829774487,1.0,1,3,1
-6.535615999140257e-06,0.04263866511994918,0.025971445420182936,3973.806858329067,1.0,1,3,1
-9.17367847175185e-06,0.058232844343642905,0.03645350905930604,3973.6704048200077,1.0,1,3,1
-6.554720638869194e-06,0.03968157330381135,0.026045643942473523,3973.5443591760654,1.0,1,3,1
-1.2182564532260446e-05,0.07174669105999837,0.048406742321008674,3973.3959524337447,1.0,1,3,1
-8.064004784688558e-06,0.049306482946010276,0.032040677571409396,3973.2639117561735,1.0,1,3,1
