QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-5.511094035892403e-07,0.003531739911597586,0.002204382503416602,3999.8977956174967,1.0,1,2,1
-1.2043267348346977e-06,0.005159597353613821,0.004817063419195041,3999.7929785540778,1.0,2,2,1
-0.0011536223476346459,0.07209586255839634,4.614135203737365,3995.0788433503403,0.0,0,2,1
-7.459479503382821e-06,0.04430953048336512,0.029800462798419875,3994.949042887542,1.0,1,3,1
-1.2070621743956432e-06,0.005087683594019784,0.004822031172090191,3994.84422085637,1.0,2,2,1
-0.0011237578398735127,0.07014258025744928,4.489125136476753,3990.2550957198937,0.0,0,2,1
-9.82741173792256e-07,0.004083047375046248,0.0039212897023809205,3990.1511744301915,1.0,2,2,1
-0.0007375069053669892,0.045979535842342684,2.9426902939099318,3987.1084841362817,0.0,0,1,1
-3.0664408451098744e-07,0.0018830158523322387,0.00122259256655551,3987.0072615437152,1.0,1,1,1
-2.943308847329472e-07,0.00183021856667972,0.0011734699416383733,3986.906088073774,1.0,1,1,1
-0.007690768843090125,0.47908756321249696,30.661604045599805,3956.1444840281742,0.0,0,3,1
-6.224410520947899e-07,0.0026181724161758995,0.002462404490772287,3956.0420216236835,1.0,2,2,1
-9.257390102241417e-07,0.0039299128726698485,0.003662169851601999,3955.938359453832,1.0,2,1,1
-5.186043081086721e-07,0.0021768462141371074,0.002051514815394299,3955.836307939017,1.0,2,1,1
-6.040241377878624e-07,0.003807352462106798,0.0023893602127190066,3955.733918578804,1.0,1,2,1
-6.661079670308995e-07,0.0027911611111920438,0.002634879267822998,3955.631283699536,1.0,2,1,1
-6.683456655648799e-06,0.028039687661185874,0.026436621884668703,3955.5048470776514,1.0,2,3,1
-7.896195958864043e-07,0.003338201229329167,0.00312326517691658,3955.4017238124748,1.0,2,2,1
-0.0009343881640896538,0.057746673689590335,3.6957871161337814,3951.605936696341,0.0,0,2,1
-9.791108148472563e-07,0.006191080180592713,0.0038689621975525248,3951.5020677341436,1.0,1,1,1
-0.0007209560325298017,0.04451229933880724,2.8487871576836628,3948.55328057646,0.0,0,1,1
-8.742343319660684e-07,0.005563340688120003,0.003451873416043993,3948.449828703044,1.0,1,2,1
-1.2565081710046289e-05,0.05231954038697984,0.04961133821750102,3948.300217364827,1.0,2,3,1
-1.0970829140192443e-06,0.00460461099415711,0.004331502999598018,3948.1958858618273,1.0,2,1,1
-8.926868075330762e-07,0.00595615476591772,0.003524413112184467,3948.092361448715,1.0,1,2,1
-0.00048205638477314463,0.02973679570112434,1.9031549248719577,3946.089206523843,0.0,0,1,1
-9.605347384179142e-07,0.004095626562333413,0.003790259710288293,3945.9854162641327,1.0,2,2,1
-1.2981106594898115e-06,0.008227400210447657,0.005122195919977863,3945.8802940682126,1.0,1,2,1
-7.253963647713092e-06,0.04592349010220623,0.028622546815033487,3945.751671521398,1.0,1,3,1
-1.03235826292604e-06,0.0043229423601425145,0.0040733261057230566,3945.647598195292,1.0,2,2,1
-8.66601276758158e-06,0.0565883802390042,0.03419216586106124,3945.5134060294313,1.0,1,3,1
-1.0517360162137855e-05,0.043495804696152954,0.04149533377973857,3945.3719106956514,1.0,2,3,1
-8.06826599173154e-07,0.0033446477444838236,0.003183150318519944,3945.268727545333,1.0,2,2,1
-0.000494108459484931,0.030458456912117977,1.9493412423755503,3943.219386302958,0.0,0,1,1
-7.80445488811549e-07,0.0047204566018752454,0.003077389736885507,3943.116308913221,1.0,1,1,1
-9.226470311481075e-07,0.003866678490131047,0.003638012291187353,3943.01267090093,1.0,2,2,1
-8.417375911936713e-07,0.0056322503419135,0.003318897813891154,3942.909352003116,1.0,1,2,1
-8.408900459144793e-07,0.005438494610292223,0.0033154691370379384,3942.8060365339793,1.0,1,2,1
-0.007386333942518913,0.45503349098476786,29.122143423025143,3913.5838931109543,0.0,0,3,1
-8.481317142069423e-07,0.0035664099783734955,0.003319149802785452,3913.4805739611515,1.0,2,2,1
-9.33346414432176e-07,0.0055888685483900455,0.003652539727015172,3913.3769214214244,1.0,1,2,1
-1.035216451427317e-05,0.0427360572621776,0.040510886480463026,3913.236410534944,1.0,2,3,1
-1.301084179777332e-06,0.008184290282391182,0.00509131987705767,3913.131319215067,1.0,1,2,1
-1.0241165562405005e-05,0.04269748208877696,0.04007400159095757,3912.991245213476,1.0,2,3,1
-8.79539875043009e-06,0.05029723737495561,0.03441543876871944,3912.8568297747074,1.0,1,3,1
-8.746480889239995e-07,0.0052994511385186654,0.0034222852835867745,3912.753407489424,1.0,1,1,1
-0.0011038885729710492,0.06748645916443458,4.319133386523813,3908.3342741029,0.0,0,2,1
-0.010215334079202724,0.6238112307773668,39.923918769751474,3868.310355333149,0.0,0,3,1
-1.107222585959704e-06,0.004553539547520307,0.004282969872668075,3868.2060723632762,1.0,2,2,1
-0.007667296811697396,0.4634049586865357,29.657917355938284,3838.448155007338,0.0,0,3,1
-0.010082406171827362,0.604684142619815,38.69978512766815,3799.6483698796696,0.0,0,3,1
-0.0004460199330122923,0.026479286084542104,1.6946743094106946,3797.853695570259,0.0,0,1,1
-1.119815320745141e-05,0.06723620224217564,0.042527827727160544,3797.711167742532,1.0,1,3,1
-8.916145264053462e-07,0.00358501524889294,0.003386005282798411,3797.6077817372493,1.0,2,1,1
-6.277786672240764e-07,0.0025475806020093684,0.002383994373992069,3797.505397742875,1.0,2,1,1
-6.403681241656385e-07,0.002566519526574018,0.0024317373712490755,3797.402966005504,1.0,2,1,1
-0.0005813611343347142,0.034493818120773984,2.2076043597295345,3795.0953616457746,0.0,0,1,1
-6.1554532738007095e-06,0.025005668834373423,0.023359916622900993,3794.9720017291515,1.0,2,3,1
-6.785930835257567e-07,0.004207034937413602,0.0025751738932389455,3794.8694265552585,1.0,1,2,1
-9.84110064285448e-06,0.06024188765001205,0.03734470784315748,3794.7320818474154,1.0,1,3,1
-6.070336738940382e-07,0.0038217952593863794,0.0023034694537200193,3794.629778377962,1.0,1,2,1
-0.0006775603204758915,0.04017223144832946,2.5710228126930854,3791.958755565269,0.0,0,1,1
-0.0012067492372194706,0.07149722907691188,4.575822660922359,3787.2829329043466,0.0,0,2,1
-0.0010324295055120073,0.06109374066721795,3.9099994027019482,3783.2729335016447,0.0,0,2,1
-8.174499084588145e-07,0.003274189257406257,0.0030925543681747845,3783.1698409472765,1.0,2,1,1
-1.0509601216707977e-05,0.04219788532639597,0.03975855540331075,3783.0300823918733,1.0,2,3,1
-8.603356139194011e-06,0.034548213839596074,0.03254589474848783,3782.8975364971247,1.0,2,3,1
-1.4238075135005076e-06,0.008493010642083496,0.005385975554515817,3782.7921505215704,1.0,1,2,1
-1.1588922580635494e-05,0.06595639086952843,0.043837326478772067,3782.6483131950918,1.0,1,3,1
-1.2212655252283775e-06,0.004856698049640591,0.004619495852415917,3782.5436936992396,1.0,2,1,1
-1.0986523124577774e-05,0.06691830205802085,0.04155590510824007,3782.4021377941312,1.0,1,3,1
-9.37572428501282e-06,0.037493371328409436,0.035461822006572344,3782.2666759721246,1.0,2,3,1
