QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-1.4399970362068548e-06,0.006075440008783757,0.0057598441451237985,3999.894240155855,1.0,2,2,1
-6.21955177563876e-07,0.004195819408073923,0.0024876927368551035,3999.7917524631184,1.0,1,2,1
-5.828411777412199e-07,0.00248262031499215,0.002331185051607448,3999.689421278067,1.0,2,2,1
-0.0010557159284319637,0.06597547280048804,4.222430259231235,3995.366991018836,0.0,0,2,1
-0.0010468603905971455,0.06535135566809158,4.182486762757861,3991.084504256078,0.0,0,2,1
-8.594805591631725e-07,0.005464858802733029,0.003430173593329571,3990.981074082485,1.0,1,2,1
-8.668333452482741e-07,0.00507473742670677,0.0034594287919349456,3990.8776146536934,1.0,1,2,1
-1.2858515769809689e-05,0.07497473118074363,0.05131547689182801,3990.7262991768016,1.0,1,3,1
-9.418388430928058e-07,0.003956744462156631,0.003758526856832404,3990.6225406499448,1.0,2,2,1
-7.146352854446121e-07,0.003017118851476525,0.0028517682149105323,3990.51968888173,1.0,2,2,1
-0.0005201617450647753,0.03243224482671185,2.0756636689095584,3988.3440252128203,0.0,0,2,1
-0.0010956862481251264,0.06827912707176385,4.369864132592887,3983.8741610802276,0.0,0,2,1
-6.428392923219813e-07,0.002766312319151551,0.0025609265624794084,3983.771600153665,1.0,2,2,1
-0.0009421698379948409,0.0586452379084598,3.7532952261414274,3979.918304927524,0.0,0,2,1
-1.6024866717681885e-06,0.006700156482516184,0.0063776057897054214,3979.8119273217344,1.0,2,2,1
-6.576266744007962e-07,0.004181014250404225,0.0026171647198377757,3979.7093101570144,1.0,1,2,1
-1.1574166190243003e-06,0.007678973983516057,0.00460606595279956,3979.6047040910616,1.0,1,2,1
-0.0006456845860829308,0.04014851324493927,2.569504847676113,3976.935199243386,0.0,0,2,1
-8.335258681740705e-07,0.003498191036668982,0.003314795012034546,3976.831884448374,1.0,2,2,1
-8.344847294633998e-07,0.0035265791022985626,0.0033185220307423774,3976.728565926343,1.0,2,2,1
-8.325569699064078e-07,0.005038714284448812,0.0033107698292909,3976.625255156514,1.0,1,2,1
-1.2572203832495759e-06,0.00781817723108123,0.00499936860528949,3976.520255787909,1.0,1,2,1
-5.153115348335419e-07,0.0021911152166729955,0.0020490952251532527,3976.4182066926837,1.0,2,2,1
-5.426576112020759e-07,0.0023178659883786095,0.002157779339423174,3976.3160489133443,1.0,2,2,1
-1.1433313845047601e-06,0.007626685842149774,0.004546132600294141,3976.211502780744,1.0,1,2,1
-0.00111362210151414,0.06918571324345685,4.427885647581238,3971.683617133163,0.0,0,2,1
-9.412048317659816e-07,0.005737477890408531,0.0037380736902083473,3971.5798790594727,1.0,1,2,1
-0.00036470927620724285,0.02263180550255326,1.4484355521634087,3970.031443507309,0.0,0,1,1
-1.2132132864002982e-06,0.005086201415798154,0.004816373573361382,3969.926627133736,1.0,2,2,1
-9.252257864847362e-07,0.005532264312955134,0.0036729859632978587,3969.8229541477726,1.0,1,2,1
-0.0008846998425833106,0.05487520738490452,3.5120132726338893,3966.210940875139,0.0,0,2,1
-0.0011022961054446515,0.06830982256075138,4.3718286438880885,3961.739112231251,0.0,0,2,1
-9.454534314647092e-07,0.005302747756275335,0.0037455452928838407,3961.635366685958,1.0,1,2,1
-9.95368100740643e-07,0.006567072467073184,0.003943185933955089,3961.531423500024,1.0,1,2,1
-1.3045718089998588e-06,0.007808925123678033,0.005167971758384312,3961.4262555282658,1.0,1,2,1
-1.171648680460011e-06,0.004981110518475251,0.004641282680161289,3961.321614245586,1.0,2,2,1
-1.3162682018838358e-06,0.0054934928118261445,0.005214030051446423,3961.2164002155346,1.0,2,2,1
-0.0010859822842889206,0.06721409744750582,4.301702236640373,3956.8146979788944,0.0,0,2,1
-8.943085526599172e-07,0.005946033988145721,0.0035385237948377265,3956.7111594550997,1.0,1,2,1
-0.0012748659531964153,0.07881482589416094,5.0441488572263,3951.5670105978734,0.0,0,2,1
-8.62220274147095e-07,0.005292088508939177,0.0034070349691609006,3951.463603562904,1.0,1,2,1
-0.009851530605742963,0.6082340542956056,38.92697947491876,3912.4366240879854,0.0,0,3,1
-1.0843848327969803e-06,0.004478922980778281,0.004242478495957152,3912.3323816094894,1.0,2,2,1
-0.0006470327705879075,0.039552227454008056,2.5313425570565156,3909.701039052433,0.0,0,2,1
-1.1476033792062977e-06,0.004778142391138488,0.004486671363765025,3909.596552381069,1.0,2,2,1
-6.106447659742021e-07,0.002556307463722855,0.0023873136073056882,3909.494165067462,1.0,2,2,1
-6.977574893632595e-07,0.002901196531536181,0.0027278090575488484,3909.3914372584045,1.0,2,2,1
-8.944894004186657e-07,0.0037301124010928974,0.003496819753775094,3909.287940438651,1.0,2,2,1
-0.0007715011289431968,0.04712410795780546,3.0159429092995493,3906.1719975293513,0.0,0,2,1
-1.0410775630453672e-06,0.004329372572313137,0.004066523916267607,3906.067931005435,1.0,2,2,1
-0.0009390105286354606,0.057308515808227656,3.66774501172657,3902.3001859937085,0.0,0,2,1
-0.0008869822734186403,0.05408097487980221,3.461182392307341,3898.7390036014012,0.0,0,2,1
-8.043266452355707e-07,0.005075495008932395,0.003135779230751263,3898.6358678221704,1.0,1,2,1
-1.1143297770512298e-06,0.006740799306844374,0.004344254604416502,3898.531523567566,1.0,1,2,1
-0.0008081830424616553,0.049228847649144716,3.150646249545262,3895.280877318021,0.0,0,2,1
-7.263400805354296e-07,0.004742390372840073,0.002829225992131237,3895.178048092029,1.0,1,2,1
-0.0012611135726089272,0.07675212176281165,4.912135792819945,3890.165912299209,0.0,0,2,1
-6.8427371585921e-07,0.004207957670989037,0.0026618698567462276,3890.0632504293526,1.0,1,2,1
-6.869672733377472e-07,0.004411103273709526,0.0026722774475314926,3889.9605781519053,1.0,1,2,1
-7.240987243823052e-07,0.004713637692039891,0.002816643082664811,3889.857761508823,1.0,1,2,1
-0.0008832672251664328,0.05368274288402334,3.4356955445774933,3886.3220659642457,0.0,0,2,1
-0.0005801174423716619,0.035226018834304595,2.254465205395494,3883.96760075885,0.0,0,2,1
-0.0012890726590370364,0.07822793024153134,5.006587535458006,3878.861013223392,0.0,0,2,1
-9.511336665802134e-07,0.00393353410587796,0.0036892201842955484,3878.757324003208,1.0,2,2,1
-0.0007282088271652827,0.04413238282638141,2.82447250088841,3875.8328515023195,0.0,0,2,1
-0.0007496830154117645,0.04539954829757337,2.9055710910446955,3872.827280411275,0.0,0,2,1
-1.0769718899766707e-06,0.0061882606804908,0.004170818418548743,3872.7231095928564,1.0,1,2,1
-6.055788239900911e-07,0.003941078765570745,0.0023451785484640917,3872.6207644143083,1.0,1,2,1
-1.0760617640650212e-06,0.006820032443218903,0.004167071525134085,3872.5165973427834,1.0,1,2,1
-9.733802932207186e-07,0.003998610359436068,0.003769334002994296,3872.4128280087803,1.0,2,2,1
-1.5139582747121263e-06,0.009054550219457108,0.005862520048237807,3872.306965488732,1.0,1,2,1
-1.2165977491912945e-06,0.004995640281509622,0.004710918278616444,3872.2022545704535,1.0,2,2,1
-1.195313088947085e-06,0.004926440891519067,0.0046283745066295805,3872.097626195947,1.0,2,2,1
-9.463865431725473e-07,0.003906308297700818,0.0036644064486278916,3871.993961789499,1.0,2,2,1
-1.32529753575066e-06,0.007402888701430948,0.005131411526247483,3871.8888303779727,1.0,1,2,1
-1.083121302104818e-06,0.006505208757833961,0.00419361695943388,3871.784636761013,1.0,1,1,1
-7.557143185421684e-07,0.004483040710439673,0.002925887516880032,3871.6817108734963,1.0,1,2,1
-0.0012022226933682493,0.07272661550064984,4.6545033920415895,3866.927207481455,0.0,0,2,1
-8.525954173600255e-07,0.004907220432335238,0.0032968391568217533,3866.823910642298,1.0,1,2,1
-8.963876773458987e-07,0.005474074745482274,0.0034660836651985,3866.720444558633,1.0,1,2,1
-0.0008336137167089463,0.05036355999830188,3.2232678398913204,3863.397176718742,0.0,0,2,1
-1.3070872878526135e-06,0.005340629308109496,0.005049666628885959,3863.292127052113,1.0,2,2,1
-1.1225235396720489e-06,0.006162862414221045,0.0043365241008917295,3863.187790528012,1.0,1,2,1
-0.0005520909639147895,0.03332462284312602,2.1327758619600647,3860.955014666052,0.0,0,2,1
-1.1772739352878116e-06,0.00480327763439977,0.004545283976691585,3860.8504693820755,1.0,2,2,1
-1.0231938604276366e-06,0.004182059082031153,0.003950296176914856,3860.746519085899,1.0,2,2,1
-0.0012003877506031474,0.07241051235811552,4.634272790919393,3856.0122462949794,0.0,0,2,1
-7.333088892969223e-07,0.0048050581191018266,0.002827574726556972,3855.9094187202527,1.0,1,2,1
