QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-8.343085526130624e-06,0.04823273788884716,0.03337150779596988,3999.866628492204,1.0,1,3,1
-8.075408795169939e-06,0.05100193334566674,0.03229975061035316,3999.734328741594,1.0,1,3,1
-1.2215073578005812e-06,0.00750501503506479,0.004885582761069646,3999.6294431588326,1.0,1,2,1
-7.697725035185594e-06,0.04815658053812679,0.030787277923565646,3999.498655880909,1.0,1,3,1
-7.293513896458984e-06,0.0438548819423506,0.029169669674146793,3999.369486211235,1.0,1,3,1
-1.0232562114301135e-05,0.0650451549843459,0.04092277342948565,3999.228563437806,1.0,1,3,1
-8.661653393742802e-06,0.05679319479474648,0.034639065493514844,3999.0939243723124,1.0,1,3,1
-7.890802261331368e-06,0.05159623336668227,0.03155527030148744,3998.962369102011,1.0,1,3,1
-1.2241575402379876e-05,0.06899207140592713,0.04895237521510169,3998.813416726796,1.0,1,3,1
-6.76635431860482e-06,0.04588329892330144,0.027056711796132393,3998.686360015,1.0,1,3,1
-8.622096142716392e-06,0.05511061651112545,0.034476196031003714,3998.551883818969,1.0,1,3,1
-1.071333095178137e-05,0.06405314090122058,0.04283673832612629,3998.409047080643,1.0,1,3,1
-8.146696891308479e-07,0.004673944306951972,0.0032573011884342445,3998.3057897794547,1.0,1,2,1
-9.556825411560522e-06,0.06014942454856727,0.0382101546924127,3998.1675796247623,1.0,1,3,1
-7.098152441325018e-06,0.042421902476764715,0.028378893150895913,3998.0392007316113,1.0,1,3,1
-1.0329822184703902e-05,0.06628584578379296,0.041298001048814786,3997.8979027305627,1.0,1,3,1
-1.3166697540159603e-05,0.07809911150135594,0.05263779581193772,3997.745264934751,1.0,1,3,1
-5.0327034877041425e-06,0.03291958824956276,0.020118963267441073,3997.6251459714836,1.0,1,3,1
-8.195157216934897e-06,0.0535640666719089,0.03276034704988693,3997.4923856244336,1.0,1,3,1
-7.564755013181386e-06,0.0521042749187303,0.030239294088805536,3997.362146330345,1.0,1,3,1
-1.0666371824264428e-05,0.0659429566890148,0.042636284331816744,3997.219510046013,1.0,1,3,1
-8.850089775873594e-06,0.05343054777488784,0.035374866508803095,3997.0841351795043,1.0,1,3,1
-2.8996927267634247e-07,0.001957636597449095,0.0011590025825768805,3996.982976176922,1.0,1,1,1
-6.447461300753457e-06,0.03865679338602425,0.02576974831254101,3996.8572064286095,1.0,1,3,1
-5.789597879272855e-06,0.03728773996552699,0.023139617046307577,3996.7340668115635,1.0,1,3,1
-6.452658461797065e-06,0.04475253748574198,0.02578891462991805,3996.6082778969335,1.0,1,3,1
-9.514685496001648e-06,0.06091836971556363,0.03802551934635648,3996.4702523775873,1.0,1,3,1
-7.998826121325086e-06,0.048857404775871194,0.03196627076520437,3996.338286106822,1.0,1,3,1
-8.326841821318943e-06,0.05787754780315515,0.033276044088710224,3996.2050100627334,1.0,1,3,1
-1.069735206292041e-05,0.06234983044855958,0.04274774217304117,3996.0622623205604,1.0,1,3,1
-8.249102714320327e-06,0.05026119220443954,0.032963103144430135,3995.929299217416,1.0,1,3,1
-7.289653336509885e-07,0.00470818887787157,0.0029128210383164194,3995.8263863963775,1.0,1,2,1
-6.316770577987152e-07,0.004253898224212668,0.002524008687527556,3995.72386238769,1.0,1,1,1
-6.427046064965131e-06,0.04272679495352818,0.025680058621839582,3995.5981823290685,1.0,1,3,1
-5.821231672598728e-07,0.0036581795506715827,0.002325872056678462,3995.495856457012,1.0,1,1,1
-7.545528988910203e-06,0.04835532388467836,0.030147375257068093,3995.365709081755,1.0,1,3,1
-7.704404185455322e-06,0.04667285203503066,0.0307811418510556,3995.234927939904,1.0,1,3,1
-5.6274088194488025e-06,0.0357854406987202,0.022482257528376973,3995.112445682376,1.0,1,3,1
-5.706410778445852e-07,0.003353188416076387,0.0022797182080067234,3995.0101659641678,1.0,1,1,1
-1.0202085855319648e-05,0.06551508245760454,0.040756416497455705,3994.8694095476703,1.0,1,3,1
-9.833351151801371e-06,0.05773985780235793,0.03928197037455647,3994.7301275772957,1.0,1,3,1
-1.098654940135874e-05,0.06778221249976027,0.043887201236783926,3994.586240376059,1.0,1,3,1
-7.023953216604754e-06,0.04575171355353326,0.02805708447677285,3994.4581832915824,1.0,1,3,1
-5.862941505756116e-06,0.03780040622117306,0.023418688381676815,3994.3347646032007,1.0,1,3,1
-8.374810661675683e-06,0.05797611908506714,0.033450959891834546,3994.201313643309,1.0,1,3,1
-8.183910108040701e-06,0.049958672425090514,0.032687366113264116,3994.0686262771956,1.0,1,3,1
-6.8491607500959745e-06,0.04387702408586351,0.027355333152212506,3993.9412709440435,1.0,1,3,1
-8.594927203286103e-06,0.054516732507970324,0.0343267749852437,3993.806944169058,1.0,1,3,1
-7.045127371851434e-06,0.04250047956944862,0.02813617410751858,3993.6788079949506,1.0,1,3,1
-1.0450265737393085e-06,0.007002695760213613,0.004173395978676875,3993.574634598972,1.0,1,2,1
-8.459444955374895e-06,0.05183798369063246,0.033782578852075876,3993.44085202012,1.0,1,3,1
-7.0956803172542456e-06,0.04911655800539225,0.028335470083766464,3993.3125165500364,1.0,1,3,1
-9.762783483518481e-06,0.06308418205902619,0.038984869202753965,3993.1735316808335,1.0,1,3,1
-8.789830311878992e-06,0.056765967884876214,0.03509843876632989,3993.038433242067,1.0,1,3,1
-6.455599179497294e-06,0.038620695407474405,0.0257768100734207,3992.912656431994,1.0,1,3,1
-9.029987440887091e-06,0.05976567922051594,0.03605504814139593,3992.7766013838527,1.0,1,3,1
-1.1537302739029305e-05,0.07069874236152651,0.04606471868920414,3992.6305366651636,1.0,1,3,1
-7.722904656226714e-06,0.0506727276953302,0.030833932671738735,3992.499702732492,1.0,1,3,1
-5.899058773222798e-06,0.03942939823030725,0.023551400492616198,3992.3761513319996,1.0,1,3,1
-7.517801325687538e-06,0.04687683526473681,0.03001313894299445,3992.2461381930566,1.0,1,3,1
