QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-6.438943435839585e-07,0.0027404514293285186,0.0025755129849014758,3999.897424487015,1.0,2,1,1
-3.6476162733782815e-07,0.0015790139496691823,0.0014589726175775375,3999.7959655143977,1.0,2,1,1
-1.1097688347823988e-05,0.04686791516447574,0.044387379311327746,3999.6515781350863,1.0,2,3,1
-3.68953267836661e-07,0.0015644842172249508,0.0014756476246342146,3999.5501024874616,1.0,2,1,1
-5.541372109638013e-06,0.023827768076806848,0.022162441251812912,3999.4279400462096,1.0,2,3,1
-4.208365582726967e-07,0.0017849269158600172,0.0016830634056928808,3999.326256982804,1.0,2,1,1
-9.447405484362388e-06,0.040421811732792697,0.03778231207342541,3999.1884746707306,1.0,2,3,1
-8.316147397188979e-06,0.035674703495201826,0.03325700920976144,3999.055217661521,1.0,2,3,1
-1.0461222955049777e-06,0.004421303752138431,0.004183396211921678,3998.9510342653093,1.0,2,1,1
-7.559627780734566e-06,0.032727782350074695,0.030229825369651183,3998.82080443994,1.0,2,3,1
-1.264414226336473e-06,0.005312532666355313,0.005056039472281486,3998.7157484004674,1.0,2,2,1
-8.757197433330567e-07,0.003718374460426404,0.0035016667568767757,3998.6122467337104,1.0,2,2,1
-1.1530200466543868e-06,0.004842318992476139,0.00461036477727704,3998.507636368933,1.0,2,2,1
-1.0984022062075969e-06,0.0046312868986527695,0.004391859769104939,3998.4032445091643,1.0,2,2,1
-4.996860478520933e-06,0.021448177989830116,0.019978963463629863,3998.283265545701,1.0,2,3,1
-6.840489329925599e-07,0.002880283431043676,0.0027349529967052454,3998.180530592704,1.0,2,1,1
-8.904979637620748e-07,0.0037923101198801324,0.0035602825714495987,3998.0769703101328,1.0,2,2,1
-6.4443769380005926e-06,0.027314219879467454,0.0257644705861241,3997.9512058395467,1.0,2,3,1
-6.871893287378227e-06,0.02915569039751792,0.02747280686534573,3997.8237330326815,1.0,2,3,1
-6.095791247442279e-07,0.0026282272655173793,0.0024369289341512894,3997.7212961037476,1.0,2,2,1
