QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-0.1,0.04546801112052875,2.90995271171384,3996.9900472882864,0.0,0,2,0
-0.0063637029999627885,0.3974222060070294,25.43502118444988,3971.4550261038366,0.0,0,3,1
-0.1,0.046030454721073984,2.9459491021487345,3968.409077001688,0.0,0,1,0
-0.1,0.06653563655913933,4.258280739784917,3964.050796261903,0.0,0,2,0
-0.1,0.06307515172488302,4.036809710392514,3959.913986551511,0.0,0,2,0
-0.1,0.06465833884368243,4.138133685995675,3955.675852865515,0.0,0,2,0
-0.1,0.05047069269763231,3.230124332648468,3952.345728532867,0.0,0,1,0
-0.1,0.031337604283150286,2.0056066741216183,3950.240121858745,0.0,0,1,0
-0.008093447006588874,0.49953515226350426,31.970249744864272,3918.169872113881,0.0,0,3,1
-0.005516437295112908,0.3377154182404262,21.613786767387275,3896.4560853464936,0.0,0,3,1
-0.1,0.05400698816519348,3.456447242572383,3892.8996381039215,0.0,0,2,0
-0.1,0.03281876641980741,2.100401050867674,3890.699237053054,0.0,0,2,0
-0.1,0.03387613829659828,2.16807285098229,3888.4311642020716,0.0,0,1,0
-0.1,0.0525797381444334,3.365103241243737,3884.966060960828,0.0,0,2,0
-0.1,0.03701649187727028,2.369055480145298,3882.497005480683,0.0,0,2,0
-0.009885124911704691,0.599655927437575,38.37797935600479,3844.0190261246785,0.0,0,3,1
-0.1,0.04999882085001819,3.1999245344011635,3840.719101590277,0.0,0,1,0
-0.1,0.03727378809923369,2.3855224383509563,3838.2335791519263,0.0,0,1,0
-0.007659142187732657,0.45932516903493537,29.39681081823586,3808.7367683336906,0.0,0,3,1
-0.1,0.0645732099637124,4.132685437677593,3804.504082896013,0.0,0,2,0
-0.1,0.04294768686831302,2.748651959572033,3801.6554309364415,0.0,0,2,0
-0.007174327188718235,0.4261500388685434,27.27360248758678,3774.281828448855,0.0,0,3,1
-0.1,0.051271753198385554,3.281392204696675,3770.9004362441583,0.0,0,2,0
-0.1,0.05852937650312765,3.7458800962001693,3767.054556147958,0.0,0,2,0
