QoE,Latency,Energy,Battery,OffloadRatio,Action,TaskClass,Success
-6.55919420927844e-06,0.04204472108193079,0.026236120917692833,3999.8737638790826,1.0,1,3,1
-6.433310439402168e-07,0.0040062578791316104,0.002573178631041021,3999.771190700452,1.0,1,2,1
-8.59283897086709e-06,0.05250403218903418,0.034368530478105216,3999.6368221699736,1.0,1,3,1
-1.0758973504763284e-06,0.006963268159597129,0.004303091070105189,3999.5325190789035,1.0,1,2,1
-1.0097735429629042e-05,0.063711168959046,0.040385211446313574,3999.3921338674572,1.0,1,3,1
-6.483804135574799e-07,0.004015496307272213,0.0025930626876941583,3999.28954080477,1.0,1,2,1
-7.355150944283075e-07,0.004879031282666272,0.0029414642727417202,3999.186599340497,1.0,1,2,1
-8.305253062369477e-07,0.005159819624196774,0.00332134262258534,3999.0832779978746,1.0,1,2,1
-6.032814811202616e-06,0.038586157125515615,0.024125125549257165,3998.9591528723254,1.0,1,3,1
-7.976986405870955e-07,0.005338140270388761,0.0031898845101455183,3998.8559629878155,1.0,1,1,1
-1.0667111743408493e-05,0.06520498400517374,0.04265517669181207,3998.7133078111237,1.0,1,3,1
-5.55191370062302e-07,0.003244501087557401,0.002219995600713011,3998.611087815523,1.0,1,1,1
-5.722082400353269e-06,0.03901735468300703,0.02287980992320661,3998.4882080056,1.0,1,3,1
-8.245070954660953e-06,0.053333592972109586,0.03296699447928583,3998.3552410111206,1.0,1,3,1
-1.03119554037383e-06,0.006152173810127405,0.00412298297380696,3998.2511180281467,1.0,1,2,1
-1.0002807165481558e-06,0.005933195943410351,0.003999273465209005,3998.1471187546817,1.0,1,1,1
-1.3917972362553517e-06,0.008677755915518129,0.0055644709303014385,3998.0415542837513,1.0,1,2,1
-7.206981152181945e-07,0.004681471006773227,0.0028813089429247985,3997.9386729748085,1.0,1,2,1
-8.964922825317773e-07,0.005687540326191855,0.0035840315171289977,3997.8350889432913,1.0,1,2,1
-1.1286256381774122e-06,0.00682820297782972,0.0045119463160228565,3997.7305769969753,1.0,1,1,1
-1.3558333018522212e-06,0.008227756935603322,0.00542012066479521,3997.6251568763105,1.0,1,2,1
-9.606726761495347e-07,0.005887689054189642,0.003840313190431454,3997.5213165631203,1.0,1,1,1
-9.795275660362769e-07,0.006601502036688923,0.003915584372634603,3997.417400978748,1.0,1,2,1
-4.077883871946863e-07,0.0026951672269207388,0.0016300596160503788,3997.315770919132,1.0,1,1,1
-5.377063359682339e-07,0.0035644748442489717,0.0021493282462553658,3997.213621590886,1.0,1,2,1
-9.225949806337553e-07,0.006113605110151091,0.003687716964302563,3997.109933873922,1.0,1,2,1
-9.45105588744943e-07,0.006041752133993529,0.003777596426773299,3997.006156277495,1.0,1,1,1
-1.542112111461628e-06,0.009258285594196058,0.006163677391971068,3996.899992600103,1.0,1,2,1
-5.888504759972801e-06,0.03666632760096456,0.023535175781084963,3996.776457424322,1.0,1,3,1
-1.2340490626536916e-06,0.007229256686588581,0.004932094836014561,3996.671525329486,1.0,1,2,1
-9.415705667729697e-06,0.05961820033911702,0.037630541162531964,3996.533894788324,1.0,1,3,1
-1.0209819833680613e-05,0.06253134302861796,0.04080287004300329,3996.393091918281,1.0,1,3,1
-7.942991724387847e-06,0.051658574320609704,0.03174252295733523,3996.2613493953236,1.0,1,3,1
-1.3619581934697248e-06,0.008057704981429152,0.005442604692235993,3996.1559067906314,1.0,1,2,1
-9.470420502838339e-06,0.057152805023169315,0.03784432979015825,3996.0180624608415,1.0,1,3,1
-6.885246024997729e-07,0.004109519074999119,0.0027512878955775135,3995.915311172946,1.0,1,2,1
-6.702631595761808e-07,0.004163120587712546,0.0026782477955496586,3995.8126329251504,1.0,1,1,1
-8.62843863784142e-06,0.0592668840414475,0.03447676126764244,3995.6781561638827,1.0,1,3,1
-7.688384720377329e-07,0.004903015035142342,0.003071954204492382,3995.575084209678,1.0,1,1,1
-8.762335022192534e-07,0.005727785936101704,0.003500969126066813,3995.4715832405523,1.0,1,1,1
-4.7798755317150636e-06,0.03231720930554302,0.01909737887084119,3995.3524858616815,1.0,1,3,1
-6.12578379558066e-07,0.00414903203505816,0.002447405293714484,3995.2500384563878,1.0,1,2,1
-9.197598706392299e-06,0.056322386950001996,0.03674578682554962,3995.1132926695623,1.0,1,3,1
-3.0441313016502694e-07,0.001983795731383196,0.0012161345014724324,3995.0120765350607,1.0,1,1,1
-3.497053775618935e-07,0.0020689076088706887,0.0013970422360512613,3994.910679492825,1.0,1,1,1
-4.2865506400429304e-07,0.0025916151088039583,0.0017123958275030303,3994.8089670969975,1.0,1,1,1
-9.922074597011547e-07,0.006135606035122671,0.003963580036488735,3994.7050035169614,1.0,1,2,1
-7.797323314453198e-06,0.04817889009668469,0.031147226725954203,3994.5738562902357,1.0,1,3,1
-8.579542584451213e-07,0.005790633118572509,0.003427075855251913,3994.4704292143806,1.0,1,2,1
-6.849924990018689e-07,0.004073424593700937,0.0027361137822467262,3994.3676931005984,1.0,1,2,1
-1.5480226812840015e-06,0.009383146447274915,0.006183216984039652,3994.2615098836145,1.0,1,2,1
-9.166071609344366e-06,0.05572055518804184,0.03661077041888023,3994.1248991131956,1.0,1,3,1
-9.327120586192569e-06,0.05825824095219735,0.03725275185828438,3993.9876463613373,1.0,1,3,1
-8.997770746893487e-07,0.005761573856333277,0.003593608543080932,3993.884052752794,1.0,1,1,1
-6.943189420985424e-07,0.004794679920056567,0.0027729599184773495,3993.781279792876,1.0,1,1,1
-7.499749980359457e-07,0.004352483002529611,0.0029951611099688553,3993.678284631766,1.0,1,2,1
-7.019081784155951e-06,0.04376089406579582,0.0280312525912596,3993.550253379175,1.0,1,3,1
-7.91309573876149e-07,0.00543218027271739,0.0031600554182970742,3993.4470933237567,1.0,1,1,1
-1.1104815232972535e-06,0.006865411999759733,0.004434538163248825,3993.3426587855934,1.0,1,2,1
-8.875416275962846e-07,0.005758654650620855,0.0035441690887654804,3993.2391146165046,1.0,1,2,1
-9.23302525381194e-06,0.058904074435900775,0.03686875428723844,3993.1022458622174,1.0,1,3,1
-5.888648655675953e-07,0.003909199942591011,0.002351338730720761,3992.9998945234865,1.0,1,1,1
-1.0677073100914213e-06,0.0062346226047739865,0.004263248405845992,3992.8956312750806,1.0,1,2,1
-8.862188862191004e-07,0.00558961351245935,0.003538490897249092,3992.7920927841833,1.0,1,1,1
-8.321659920928255e-07,0.005194775056460541,0.00332258257651293,3992.688770201607,1.0,1,1,1
-7.286886195181162e-07,0.004052159020103467,0.0029093539992617423,3992.585860847608,1.0,1,1,1
-1.2640414713873713e-06,0.008029207682224112,0.005046667702039086,3992.480814179906,1.0,1,2,1
-1.1051231271158906e-06,0.007342982982503266,0.004412072370003983,3992.376402107536,1.0,1,2,1
-1.1028494603657354e-06,0.007365115560190613,0.0044028798756951554,3992.27199922766,1.0,1,2,1
-1.1563025292477046e-06,0.006739114268974245,0.004616158579898809,3992.16738306908,1.0,1,2,1
-5.364435578519815e-07,0.003221015729426672,0.0021415188301584266,3992.06524155025,1.0,1,1,1
-4.195994386759284e-07,0.00281134809180595,0.001675026374568302,3991.9635665238757,1.0,1,1,1
-7.62139863680126e-06,0.0500736209757541,0.030423583544201684,3991.8331429403315,1.0,1,3,1
-8.235542001264661e-07,0.004988298449126507,0.0032874085956525294,3991.729855531736,1.0,1,1,1
-1.5567928408368416e-06,0.009114172364046217,0.006214140782362403,3991.6236413909537,1.0,1,2,1
-7.355008688704096e-06,0.044859097344809376,0.029357691063598278,3991.4942836998903,1.0,1,3,1
-5.309197734975682e-06,0.035296300029222634,0.021191101490414345,3991.3730925984,1.0,1,3,1
-3.535054816033861e-07,0.0023421668971722494,0.0014109369168096336,3991.2716816614834,1.0,1,1,1
-9.939457411612845e-06,0.062037491042021824,0.03967008095230953,3991.132011580531,1.0,1,3,1
-8.535622063828633e-07,0.005660291963833335,0.0034065940895493156,3991.0286049864417,1.0,1,2,1
-5.386905465052778e-07,0.003519666150257013,0.0021498755112836923,3990.9264551109304,1.0,1,2,1
-5.345322465720045e-06,0.03450961757615167,0.021332254307294345,3990.8051228566233,1.0,1,3,1
-8.063704717171166e-07,0.005002088225980869,0.003217986772401809,3990.7019048698508,1.0,1,2,1
-1.3377607468276868e-06,0.007795366814888703,0.005338470584550681,3990.596566399266,1.0,1,2,1
-3.795993341772776e-07,0.0024960121759584532,0.001514789839641874,3990.4950516094264,1.0,1,1,1
-7.181642507560946e-07,0.004295457286422546,0.002865759072459911,3990.392185850354,1.0,1,2,1
-9.358017837903239e-06,0.05691516124584303,0.03734122545363352,3990.2548446249007,1.0,1,3,1
-9.395746595399697e-07,0.005802977470551269,0.003749048379650202,3990.151095576521,1.0,1,1,1
-4.612050502843496e-07,0.003175948932744376,0.0018402317161724938,3990.0492553448053,1.0,1,1,1
-9.035473315619421e-07,0.005544676581031225,0.0036051080027343567,3989.9456502368025,1.0,1,1,1
-7.660451336025104e-07,0.004492074478664723,0.0030564018441890466,3989.8425938349583,1.0,1,1,1
-7.4213220081374936e-06,0.0476025901928053,0.029609164518430944,3989.71298467044,1.0,1,3,1
-1.1178706790133812e-06,0.006867170291090626,0.004459871376174147,3989.608524799064,1.0,1,2,1
-7.362580491400231e-06,0.046707755554146385,0.029373077634960505,3989.4791517214294,1.0,1,3,1
-1.0820548351832975e-05,0.0645380737761861,0.04316727000499615,3989.3359844514243,1.0,1,3,1
-9.463775498899147e-06,0.06275526173162724,0.03775323376897821,3989.1982312176556,1.0,1,3,1
-1.1247382720691608e-05,0.06757831277274634,0.044866914516938916,3989.0533643031386,1.0,1,3,1
